Game,Discount,Price,Rating,Release,Ends,Started
"Pistol WhipPlay For Freeall-time low:R$ 33,24at -30%",-50%,"R$ 44,49",90.39%,Nov 2019,,
"Age of Wonders 4Play For Freeall-time low:R$ 116,19at -30%",-35%,"R$ 129,99",79.48%,May 2023,,
"ICARUSPlay For Freeall-time low:R$ 44,21at -33%",-50%,"R$ 50,99",70.30%,Dec 2021,,
Age of WaterPlay For Freenew historical low,-50%,"R$ 74,50",62.58%,Apr 2024,,
Baldur's Gate 3Week Long DealTop Seller,-20%,"R$ 159,99",95.98%,Aug 2023,,
Minishoot' AdventuresDaily Dealnew historical low,-25%,"R$ 29,99",93.96%,Apr 2024,,
UNDERDOGSDaily Dealnew historical low,-42%,"R$ 51,61",92.47%,Jan 2024,,
STORY OF SEASONS: Friends of Mineral TownDaily Dealnew historical low,-75%,"R$ 23,49",90.76%,Jul 2020,,
Wall WorldDaily Dealnew historical low,-70%,"R$ 5,09",89.10%,Apr 2023,,
Anger FootMidweek Dealnew historical low,-30%,"R$ 51,79",88.90%,Jul 2024,,
Rune Factory 3 SpecialDaily Dealnew historical low,-60%,"R$ 55,99",88.74%,Sep 2023,,
Syberia: The World BeforeDaily Dealnew historical low,-80%,"R$ 21,80",87.18%,Mar 2022,,
ManiacDaily Dealnew historical low,-35%,"R$ 11,04",87.12%,Mar 2024,,
Age of Mythology: RetoldDaily Dealnew historical low,-20%,"R$ 79,99",86.77%,Sep 2024,,
Coffee CaravanDaily Dealnew historical low,-25%,"R$ 28,86",86.11%,May 2024,,
Garfield Kart - Furious RacingDaily Dealnew historical low,-93%,"R$ 2,79",85.73%,Nov 2019,,
RatopiaDaily Dealnew historical low,-25%,"R$ 44,99",84.64%,Nov 2023,,
Rune Factory 4 SpecialDaily Dealnew historical low,-70%,"R$ 35,99",83.91%,Dec 2021,,
BUTCHERDaily Dealnew historical low,-85%,"R$ 2,99",81.95%,Oct 2016,,
Swords and Sandals ImmortalsDaily Dealnew historical low,-60%,"R$ 13,19",81.93%,Mar 2023,,
STORY OF SEASONS: Pioneers of Olive TownDaily Dealnew historical low,-65%,"R$ 55,99",80.53%,Sep 2021,,
Resident Evil 4new historical low,-50%,"R$ 84,50",96.30%,Mar 2023,,
Ghost Trick: Phantom Detectivenew historical low,-50%,"R$ 64,50",94.06%,Jun 2023,,
Car Mechanic Simulator 2021new historical low,-62%,"R$ 28,11",93.75%,Aug 2021,,
The Legend of Heroes: Trails in the Sky SCDaily Deal,-35%,"R$ 45,49",93.68%,Oct 2015,,
月に寄りそう乙女の作法new historical low,-43%,"R$ 43,02",93.51%,Jun 2022,,
Insomnia: Theater in the Headnew historical low,-26%,"R$ 6,46",92.86%,Dec 2022,,
"Little Kitty, Big Citynew historical low",-30%,"R$ 51,79",92.65%,May 2024,,
Maitetsu:Pure Stationnew historical low,-66%,"R$ 50,14",92.63%,Sep 2018,,
Mortal Sinnew historical low,-33%,"R$ 40,19",92.23%,Mar 2023,,
Teenage Mutant Ninja Turtles: Shredder's RevengeMidweek Deal,-35%,"R$ 61,74",91.79%,Jun 2022,,
The Legend of Heroes: Trails of Cold SteelDaily Deal,-50%,"R$ 36,49",91.47%,Aug 2017,,
SENRAN KAGURA ESTIVAL VERSUSDaily Deal,-70%,"R$ 17,39",91.09%,Mar 2017,,
SENRAN KAGURA SHINOVI VERSUSDaily Deal,-60%,"R$ 15,19",91.09%,Jun 2016,,
ABZUDaily Deal,-75%,"R$ 9,24",90.85%,Aug 2016,,
DEATH STRANDING DIRECTOR'S CUTMidweek Deal,-50%,"R$ 79,50",90.84%,Mar 2022,,
The Legend of Heroes: Trails in the SkyDaily Deal,-50%,"R$ 18,49",90.84%,Jul 2014,,
突然＊恋人new historical low,-30%,"R$ 62,29",90.82%,Apr 2024,,
Who's Lila?new historical low,-50%,"R$ 12,44",90.74%,Feb 2022,,
Killer Frequencynew historical low,-66%,"R$ 30,26",90.53%,Jun 2023,,
The Cosmic Wheel Sisterhoodnew historical low,-50%,"R$ 27,49",90.45%,Aug 2023,,
Streets of Rage 4Midweek Deal,-60%,"R$ 36,98",90.44%,Apr 2020,,
Otome Riron to Sono Shuuhen -École de Paris-new historical low,-33%,"R$ 72,35",90.23%,Dec 2023,,
American Arcadianew historical low,-35%,"R$ 38,99",90.22%,Nov 2023,,
Jusantnew historical low,-40%,"R$ 52,49",90.07%,Oct 2023,,
The Legend of Heroes: Trails of Cold Steel IIDaily Deal,-50%,"R$ 36,49",89.71%,Feb 2018,,
The Legend of Heroes: Trails in the Sky the 3rdDaily Deal,-25%,"R$ 41,99",89.71%,May 2017,,
Kill The Crowsnew historical low,-40%,"R$ 10,19",89.64%,Aug 2023,,
Fate/EXTELLA LINKDaily Deal,-70%,"R$ 28,19",89.62%,Mar 2019,,
The Operatornew historical low,-15%,"R$ 37,81",89.58%,Jul 2024,,
Ys OriginDaily Deal,-75%,"R$ 9,24",89.52%,May 2012,,
Soda CrisisDaily Deal,-40%,"R$ 13,67",89.48%,May 2022,,
Venbanew historical low,-50%,"R$ 23,49",89.39%,Jul 2023,,
We Were Here Expeditions: The FriendShipMidweek Deal,-50%,"R$ 6,89",89.38%,Sep 2023,,
We Were Here ForeverMidweek Deal,-50%,"R$ 27,49",89.31%,May 2022,,
System Shocknew historical low,-60%,"R$ 79,60",89.02%,May 2023,,
Sakuna: Of Rice and RuinDaily Deal,-50%,"R$ 37,74",89.00%,Nov 2020,,
SENRAN KAGURA Burst Re:NewalDaily Deal,-70%,"R$ 17,39",88.97%,Jan 2019,,
"Metro 2033 ReduxWeekend DealTop Sellerall-time low:R$ 3,69at -90%",-90%,"R$ 9,90",88.95%,Aug 2014,,
"Metro: Last Light ReduxWeekend DealTop Sellerall-time low:R$ 3,69at -90%",-90%,"R$ 9,90",88.79%,Aug 2014,,
Game Of FateIntroductory Offernew historical low,-12%,"R$ 50,20",88.70%,Oct 2024,,
"Metro ExodusWeekend DealTop Sellerall-time low:R$ 11,20at -80%",-90%,"R$ 14,90",88.35%,Feb 2019,,
Aonatsu Linenew historical low,-48%,"R$ 34,31",88.22%,Dec 2022,,
Touhou: Scarlet CuriosityDaily Deal,-70%,"R$ 8,69",88.16%,Jul 2018,,
Fate/EXTELLADaily Deal,-65%,"R$ 26,42",87.78%,Jul 2017,,
Card Sharknew historical low,-60%,"R$ 23,99",87.49%,Jun 2022,,
Backpack Battlesnew historical low,-20%,"R$ 33,59",87.44%,Mar 2024,,
Thief Simulator 2new historical low,-33%,"R$ 40,19",87.43%,Oct 2023,,
SENRAN KAGURA Bon Appétit! - Full CourseDaily Deal,-75%,"R$ 9,49",87.36%,Nov 2016,,
YOHANE THE PARHELION -BLAZE in the DEEPBLUE-new historical low,-37%,"R$ 94,49",87.34%,Nov 2023,,
PotionomicsDaily Deal,-20%,"R$ 37,99",87.26%,Oct 2022,,
Corpse Party (2021)Daily Deal,-55%,"R$ 34,39",87.25%,Oct 2021,,
Torn Awaynew historical low,-40%,"R$ 28,19",87.16%,Sep 2023,,
Ys: Memories of CelcetaDaily Deal,-40%,"R$ 28,49",87.12%,Jul 2018,,
Apollo Justice: Ace Attorney Trilogynew historical low,-40%,"R$ 127,80",87.09%,Jan 2024,,
METAL SLUG 3new historical low,-80%,"R$ 2,99",87.07%,Feb 2014,,
BioShock® 2new historical low,-85%,"R$ 4,49",87.04%,Feb 2010,,
Zwei: The Ilvard InsurrectionDaily Deal,-60%,"R$ 15,19",87.03%,Oct 2017,,
Xanadu NextDaily Deal,-70%,"R$ 8,69",87.02%,Nov 2016,,
Ys SEVENDaily Deal,-40%,"R$ 27,59",86.92%,Aug 2017,,
Train Valley 2new historical low,-75%,"R$ 7,24",86.39%,Apr 2019,,
METAL SLUGnew historical low,-80%,"R$ 3,19",86.18%,Jun 2015,,
Tavern Talknew historical low,-20%,"R$ 43,99",86.13%,Jun 2024,,
No Straight Roads: Encore EditionWeek Long Dealnew historical low,-75%,"R$ 11,87",85.99%,Oct 2021,,
Lucky Tower UltimateWeek Long Dealnew historical low,-10%,"R$ 26,99",85.51%,Sep 2024,,
Nitroplus Blasterz: Heroines Infinite DuelDaily Deal,-75%,"R$ 9,49",85.31%,Dec 2016,,
EVERSPACE™ 2Daily Deal,-60%,"R$ 55,99",85.16%,Apr 2023,,
Ys VI: The Ark of NapishtimDaily Deal,-75%,"R$ 9,24",85.04%,Apr 2015,,
METAL SLUG Xnew historical low,-80%,"R$ 3,19",85.03%,Oct 2014,,
"Magical Mic Duel: Senpai, Hear My Spellnew historical low",-50%,"R$ 11,75",84.90%,May 2024,,
EnshroudedTop Seller,-20%,"R$ 71,99",84.57%,Jan 2024,,
Portal Dungeonnew historical low,-35%,"R$ 30,54",83.45%,Jul 2023,,
Monster Hunter Storiesnew historical low,-20%,"R$ 103,20",83.43%,Jun 2024,,
METAL SLUG 2new historical low,-80%,"R$ 2,79",83.34%,Apr 2016,,
Cyberpunk 2077Top Seller,-50%,"R$ 99,95",82.49%,Dec 2020,,
Thymesianew historical low,-60%,"R$ 29,96",82.22%,Aug 2022,,
Six Days in FallujahMidweek DealTop Seller,-25%,"R$ 80,99",82.13%,Jun 2023,,
Into The Flamesnew historical low,-70%,"R$ 11,39",81.33%,Jan 2023,,
A Perfect Daynew historical low,-41%,"R$ 35,39",81.25%,Feb 2022,,
The Lord of the Rings: Return to Moria™Top Sellernew historical low,-33%,"R$ 49,57",79.05%,Aug 2024,,
